bahan_a	bahan_b	senyawa_toksik	gejala	level	sumber	deskripsi
Red Lentil Rotini	f	f	The composition includes sodium benzoate and potassium sorbate as preservatives, raising concerns about synthetic additives. Sucralose, an artificial sweetener, further contributes to the product's lo	warning	Zerotox/Open Food Facts	The composition includes sodium benzoate and potassium sorbate as preservatives, raising concerns about synthetic additives. Sucralose, an artificial sweetener, further contributes to the product's low rating due to potential health implications.
Indomie SuperMi	f	f	The composition of Indomie SuperMi includes several concerning ingredients such as artificial chicken flavor and TBHQ, indicating a highly processed product with significant quality concerns.	warning	Zerotox/Open Food Facts	The composition of Indomie SuperMi includes several concerning ingredients such as artificial chicken flavor and TBHQ, indicating a highly processed product with significant quality concerns.
Pork oriental style instant noodles	f	f	The composition includes several synthetic additives like monosodium glutamate and artificial flavors, raising significant quality and safety concerns. The presence of palm oil and thickeners further 	warning	Zerotox/Open Food Facts	The composition includes several synthetic additives like monosodium glutamate and artificial flavors, raising significant quality and safety concerns. The presence of palm oil and thickeners further indicates a highly processed product.
Indomie	f	f	Indomie contains several synthetic additives such as sodium polyphosphate and monosodium glutamate (E-621), which raise quality concerns. The presence of palm oil and artificial flavors further indica	warning	Zerotox/Open Food Facts	Indomie contains several synthetic additives such as sodium polyphosphate and monosodium glutamate (E-621), which raise quality concerns. The presence of palm oil and artificial flavors further indicates a highly processed composition.
indo mie	f	f	The composition of Indo Mie includes several synthetic additives such as E621 (monosodium glutamate) and E631 (sodium inosinate), which raise quality concerns. The presence of refined palm oil and mul	warning	Zerotox/Open Food Facts	The composition of Indo Mie includes several synthetic additives such as E621 (monosodium glutamate) and E631 (sodium inosinate), which raise quality concerns. The presence of refined palm oil and multiple preservatives further indicates a highly processed product.
Im free from gluten beef brown rice noodles	f	f	The composition includes several synthetic additives such as flavor enhancers (E635) and artificial colors (E150a), raising significant quality concerns. The presence of palm oil also indicates a proc	warning	Zerotox/Open Food Facts	The composition includes several synthetic additives such as flavor enhancers (E635) and artificial colors (E150a), raising significant quality concerns. The presence of palm oil also indicates a processed nature.
Mi goreng halal instant soup noodles	f	f	The composition includes several synthetic additives such as flavor enhancers (E621, E631, E627) and artificial chicken flavor, raising significant quality concerns. The presence of refined palm oil a	warning	Zerotox/Open Food Facts	The composition includes several synthetic additives such as flavor enhancers (E621, E631, E627) and artificial chicken flavor, raising significant quality concerns. The presence of refined palm oil and maltodextrin also indicates a highly processed product.
Indomie	f	f	The composition includes several synthetic additives like TBHQ (E319) and MSG (E621), raising significant quality concerns. The presence of artificial flavors further detracts from its safety profile.	warning	Zerotox/Open Food Facts	The composition includes several synthetic additives like TBHQ (E319) and MSG (E621), raising significant quality concerns. The presence of artificial flavors further detracts from its safety profile.
Chocolate Chip cookie mix	f	f	The composition includes several concerning ingredients such as palm oil, which raises environmental sustainability issues, and sodium aluminum phosphate, a leavening agent with potential health conce	warning	Zerotox/Open Food Facts	The composition includes several concerning ingredients such as palm oil, which raises environmental sustainability issues, and sodium aluminum phosphate, a leavening agent with potential health concerns. The presence of refined sugars and corn syrup further indicates a highly processed product, contributing to the overall low rating due to quality and safety concerns.
Dolly Parton's Yellow Cake Mix	f	f	The composition includes several synthetic additives like propylene glycol mono- and diesters and artificial colors (Yellow 5 Lake, Red 40 Lake), raising quality concerns. The presence of sodium alumi	warning	Zerotox/Open Food Facts	The composition includes several synthetic additives like propylene glycol mono- and diesters and artificial colors (Yellow 5 Lake, Red 40 Lake), raising quality concerns. The presence of sodium aluminum phosphate as a leavening agent also indicates a processed nature.
Chocolate Moist Cake Mix, Chocolate	f	f	The composition includes several synthetic additives like artificial flavor and preservatives such as citric acid. The presence of palm oil and aluminum compounds raises quality concerns.	warning	Zerotox/Open Food Facts	The composition includes several synthetic additives like artificial flavor and preservatives such as citric acid. The presence of palm oil and aluminum compounds raises quality concerns.
Traditional Vanilla Cake Mix	f	f	The composition includes several synthetic additives like sodium aluminum phosphate and BHT, raising concerns about quality and safety. The presence of artificial flavors further detracts from its ove	warning	Zerotox/Open Food Facts	The composition includes several synthetic additives like sodium aluminum phosphate and BHT, raising concerns about quality and safety. The presence of artificial flavors further detracts from its overall rating.
Cinnamon Toast Crunch Cake Mix	f	f	The composition includes several processed ingredients like modified corn starch and propylene glycol mono and diesters, raising quality concerns. The presence of multiple sugars and artificial flavor	warning	Zerotox/Open Food Facts	The composition includes several processed ingredients like modified corn starch and propylene glycol mono and diesters, raising quality concerns. The presence of multiple sugars and artificial flavors further indicates a highly processed product.
Funfetti Yellow Cake & Cupcake Mix	f	f	The composition includes enriched bleached flour and sugar, but also contains several synthetic additives like artificial colors (Red 3, Blue 1, Yellow 5) and preservatives (BHT). These ingredients ra	warning	Zerotox/Open Food Facts	The composition includes enriched bleached flour and sugar, but also contains several synthetic additives like artificial colors (Red 3, Blue 1, Yellow 5) and preservatives (BHT). These ingredients raise quality and safety concerns, indicating a highly processed product with potential allergenic and health implications.
Chocolate chip cookie mix	f	f	The composition includes enriched bleached flour, which is processed and may raise concerns about nutrient loss. The presence of artificial flavors and preservatives like tbhq indicates a highly proce	warning	Zerotox/Open Food Facts	The composition includes enriched bleached flour, which is processed and may raise concerns about nutrient loss. The presence of artificial flavors and preservatives like tbhq indicates a highly processed product, contributing to the lower rating due to quality concerns associated with synthetic additives.
Chocolate chip cookie mix, chocolate chip	f	f	The composition includes several synthetic additives like artificial flavors and preservatives, which raise quality concerns. Ingredients like enriched bleached flour and vegetable shortening indicate	warning	Zerotox/Open Food Facts	The composition includes several synthetic additives like artificial flavors and preservatives, which raise quality concerns. Ingredients like enriched bleached flour and vegetable shortening indicate a highly processed product.
Super Moist Yellow Cake Mix	f	f	The composition includes several processed ingredients such as sugar, corn syrup, and modified corn starch, which raise quality concerns. Additionally, artificial colors (Yellows 5 & 6) and preservati	warning	Zerotox/Open Food Facts	The composition includes several processed ingredients such as sugar, corn syrup, and modified corn starch, which raise quality concerns. Additionally, artificial colors (Yellows 5 & 6) and preservatives like sodium aluminum phosphate indicate a highly processed product, contributing to the lower rating due to potential health implications.
Classic yellow cake mix	f	f	The composition includes several synthetic additives like sodium aluminum phosphate and artificial colors (Yellow 5, Red 40), raising quality concerns. The presence of BHT as an antioxidant also indic	warning	Zerotox/Open Food Facts	The composition includes several synthetic additives like sodium aluminum phosphate and artificial colors (Yellow 5, Red 40), raising quality concerns. The presence of BHT as an antioxidant also indicates a processed nature.
Préparation pour Muffins Goût Chocolat	f	f	The composition includes several synthetic additives like artificial flavors and emulsifiers, raising quality concerns. Ingredients like hydrogenated palm oil and sodium bicarbonate indicate a highly 	warning	Zerotox/Open Food Facts	The composition includes several synthetic additives like artificial flavors and emulsifiers, raising quality concerns. Ingredients like hydrogenated palm oil and sodium bicarbonate indicate a highly processed product.
Fudge Brownie Mix	f	f	The composition includes sugar and corn syrup, both of which are high in refined sugars, raising concerns about their impact on health. Additionally, palm oil is present, which has environmental susta	warning	Zerotox/Open Food Facts	The composition includes sugar and corn syrup, both of which are high in refined sugars, raising concerns about their impact on health. Additionally, palm oil is present, which has environmental sustainability issues. The inclusion of artificial flavor further indicates a reliance on synthetic additives, contributing to the overall low rating.
Betty Crocker Reese's Peanut Butter and Chocolate Chunk Premium Cookie Mix	f	f	The composition includes several concerning ingredients such as hydrogenated vegetable oil and artificial flavors. Hydrogenated oils raise health concerns due to trans fats, while artificial flavors i	warning	Zerotox/Open Food Facts	The composition includes several concerning ingredients such as hydrogenated vegetable oil and artificial flavors. Hydrogenated oils raise health concerns due to trans fats, while artificial flavors indicate a highly processed product. The presence of palm oil also raises environmental sustainability issues.
Peanut Butter Cookie Mix	f	f	The composition includes enriched bleached flour and partially hydrogenated vegetable shortening, which raises concerns about processing and synthetic additives. The presence of sugar and artificial f	warning	Zerotox/Open Food Facts	The composition includes enriched bleached flour and partially hydrogenated vegetable shortening, which raises concerns about processing and synthetic additives. The presence of sugar and artificial flavors further indicates a highly processed product.
Brownie Mix	f	f	The composition of this brownie mix includes several concerning ingredients such as partially hydrogenated soybean oil and sodium aluminum phosphate, indicating significant quality issues.	warning	Zerotox/Open Food Facts	The composition of this brownie mix includes several concerning ingredients such as partially hydrogenated soybean oil and sodium aluminum phosphate, indicating significant quality issues.
The Mason Jar Cookie Company, Pumpkin Pie Spice Cookie Mix	f	f	The ingredient composition includes several synthetic additives such as partially hydrogenated vegetable oil and artificial colors. These raise significant quality and safety concerns, leading to a lo	warning	Zerotox/Open Food Facts	The ingredient composition includes several synthetic additives such as partially hydrogenated vegetable oil and artificial colors. These raise significant quality and safety concerns, leading to a low rating.
Apple cinnamon muffin mix	f	f	The composition includes several processed ingredients like partially hydrogenated vegetable shortening and artificial flavors, raising quality concerns. The presence of preservatives like citric acid	warning	Zerotox/Open Food Facts	The composition includes several processed ingredients like partially hydrogenated vegetable shortening and artificial flavors, raising quality concerns. The presence of preservatives like citric acid also indicates a highly processed product.
Cookie mix	f	f	The composition includes enriched bleached flour and multiple sugars, alongside artificial flavors and preservatives like TBHQ. These synthetic additives raise significant quality concerns.	warning	Zerotox/Open Food Facts	The composition includes enriched bleached flour and multiple sugars, alongside artificial flavors and preservatives like TBHQ. These synthetic additives raise significant quality concerns.
Triple chocolate chunk brownie mix, triple chocolate chunk	f	f	The composition includes several synthetic additives like artificial flavor and carrageenan, which raise quality concerns. The presence of palm oil also indicates a less favorable ingredient profile.	warning	Zerotox/Open Food Facts	The composition includes several synthetic additives like artificial flavor and carrageenan, which raise quality concerns. The presence of palm oil also indicates a less favorable ingredient profile.
Decadent premium chocolate baking mix, chocolate	f	f	The composition includes sugar and enriched bleached wheat flour, which are common in baking mixes. However, the presence of artificial flavor (vanillin) and palm oil raises quality concerns.	warning	Zerotox/Open Food Facts	The composition includes sugar and enriched bleached wheat flour, which are common in baking mixes. However, the presence of artificial flavor (vanillin) and palm oil raises quality concerns.
Chocolate peanut butter brownie mix	f	f	The composition includes sugar and enriched bleached wheat flour, which are common in baking mixes. However, the presence of hydrogenated palm oil and artificial flavors raises significant quality con	warning	Zerotox/Open Food Facts	The composition includes sugar and enriched bleached wheat flour, which are common in baking mixes. However, the presence of hydrogenated palm oil and artificial flavors raises significant quality concerns.
Gluten Free Double Chocolate Brownie Mix	f	f	The composition includes several synthetic additives like artificial flavor and sodium bicarbonate, raising quality concerns. The presence of sugar and soybean oil also contributes to a lower rating.	warning	Zerotox/Open Food Facts	The composition includes several synthetic additives like artificial flavor and sodium bicarbonate, raising quality concerns. The presence of sugar and soybean oil also contributes to a lower rating.
Easy One-Step Mix, Pound Cake	f	f	The composition includes several processed ingredients like partially hydrogenated soybean oil and artificial flavor, raising quality concerns. The presence of enriched flours indicates some nutrition	warning	Zerotox/Open Food Facts	The composition includes several processed ingredients like partially hydrogenated soybean oil and artificial flavor, raising quality concerns. The presence of enriched flours indicates some nutritional fortification but also suggests processing.
White Cake Mix	f	f	The composition includes sugar and enriched bleached flour, which are common in cake mixes but raise concerns about high glycemic index and processing. Additionally, the presence of preservatives like	warning	Zerotox/Open Food Facts	The composition includes sugar and enriched bleached flour, which are common in cake mixes but raise concerns about high glycemic index and processing. Additionally, the presence of preservatives like BHT and artificial flavor indicates a highly processed product, contributing to the lower rating due to quality concerns.
Dark Chocolate Brownie Mix	f	f	The composition includes sugar and enriched bleached flour, which are processed ingredients. Partially hydrogenated vegetable shortening raises concerns due to trans fats, indicating a lower quality p	warning	Zerotox/Open Food Facts	The composition includes sugar and enriched bleached flour, which are processed ingredients. Partially hydrogenated vegetable shortening raises concerns due to trans fats, indicating a lower quality product.
Chocolate fudge brownie mix	f	f	The composition includes sugar and enriched bleached flour, which are processed ingredients. The presence of partially hydrogenated vegetable shortening raises concerns about trans fats, impacting the	warning	Zerotox/Open Food Facts	The composition includes sugar and enriched bleached flour, which are processed ingredients. The presence of partially hydrogenated vegetable shortening raises concerns about trans fats, impacting the overall safety assessment.
Cake mix	f	f	The composition includes several synthetic additives such as BHT and artificial flavor, raising quality concerns. The presence of modified corn starch and emulsifiers indicates a highly processed prod	warning	Zerotox/Open Food Facts	The composition includes several synthetic additives such as BHT and artificial flavor, raising quality concerns. The presence of modified corn starch and emulsifiers indicates a highly processed product.
Bakery Style Double Peanut Butter Cookie Mix	f	f	The ingredient composition includes several problematic components such as hydrogenated oils and artificial flavors. These raise concerns about the overall quality and safety of the product.	warning	Zerotox/Open Food Facts	The ingredient composition includes several problematic components such as hydrogenated oils and artificial flavors. These raise concerns about the overall quality and safety of the product.
