nama_bahan	alergen_gluten	alergen_dairy	alergen_nuts	alergen_soy	alergen_eggs	alergen_fish	alergen_shellfish	alergen_sesame	tipe_alergen	sumber
Beras Premium	0	0	0	0	0	0	0	0	contains	BPOM RI & Kemenkes RI
Beras Medium	0	0	0	0	0	0	0	0	contains	BPOM RI & Kemenkes RI
Beras SPHP	0	0	0	0	0	0	0	0	contains	BPOM RI & Kemenkes RI
Beras Kualitas Bawah I	0	0	0	0	0	0	0	0	contains	BPOM RI & Kemenkes RI
Beras Kualitas Bawah II	0	0	0	0	0	0	0	0	contains	BPOM RI & Kemenkes RI
Beras Bulog	0	0	0	0	0	0	0	0	contains	BPOM RI & Kemenkes RI
Daging Ayam Ras	0	0	0	0	0	0	0	0	contains	BPOM RI & Kemenkes RI
Daging Ayam Kampung	0	0	0	0	0	0	0	0	contains	BPOM RI & Kemenkes RI
Daging Sapi Murni	0	0	0	0	0	0	0	0	contains	BPOM RI & Kemenkes RI
Daging Sapi Has Dalam	0	0	0	0	0	0	0	0	contains	BPOM RI & Kemenkes RI
Daging Kerbau Segar (Lokal)	0	0	0	0	0	0	0	0	contains	BPOM RI & Kemenkes RI
Daging Kerbau Beku (Impor)	0	0	0	0	0	0	0	0	contains	BPOM RI & Kemenkes RI
Daging Kambing	0	0	0	0	0	0	0	0	contains	BPOM RI & Kemenkes RI
Daging Bebek	0	0	0	0	0	0	0	0	contains	BPOM RI & Kemenkes RI
Telur Ayam Ras	0	0	0	0	1	0	0	0	contains	BPOM RI & Kemenkes RI
Telur Ayam Kampung	0	0	0	0	1	0	0	0	contains	BPOM RI & Kemenkes RI
Telur Bebek	0	0	0	0	1	0	0	0	contains	BPOM RI & Kemenkes RI
Telur Puyuh	0	0	0	0	1	0	0	0	contains	BPOM RI & Kemenkes RI
Ikan Kembung	0	0	0	0	0	1	0	0	contains	BPOM RI & Kemenkes RI
Ikan Tongkol	0	0	0	0	0	1	0	0	contains	BPOM RI & Kemenkes RI
Ikan Bandeng	0	0	0	0	0	1	0	0	contains	BPOM RI & Kemenkes RI
Ikan Teri Asin (Kering)	0	0	0	0	0	1	0	0	contains	BPOM RI & Kemenkes RI
Ikan Lele	0	0	0	0	0	1	0	0	contains	BPOM RI & Kemenkes RI
Ikan Nila	0	0	0	0	0	1	0	0	contains	BPOM RI & Kemenkes RI
Ikan Patin	0	0	0	0	0	1	0	0	contains	BPOM RI & Kemenkes RI
Ikan Mas	0	0	0	0	0	1	0	0	contains	BPOM RI & Kemenkes RI
Udang Vaname Segar	0	0	0	0	0	0	1	0	contains	BPOM RI & Kemenkes RI
Udang Windu	0	0	0	0	0	0	1	0	contains	BPOM RI & Kemenkes RI
Cumi-cumi	0	0	0	0	0	0	1	0	contains	BPOM RI & Kemenkes RI
Kepiting	0	0	0	0	0	0	1	0	contains	BPOM RI & Kemenkes RI
Kerang Darah	0	0	0	0	0	0	1	0	contains	BPOM RI & Kemenkes RI
Gula Pasir	0	0	0	0	0	0	0	0	contains	BPOM RI & Kemenkes RI
Gula Pasir Lokal/Curah	0	0	0	0	0	0	0	0	contains	BPOM RI & Kemenkes RI
Gula Kelapa	0	0	0	0	0	0	0	0	contains	BPOM RI & Kemenkes RI
Gula Aren	0	0	0	0	0	0	0	0	contains	BPOM RI & Kemenkes RI
Minyak Goreng Kemasan	0	0	0	0	0	0	0	0	contains	BPOM RI & Kemenkes RI
Minyak Goreng Curah	0	0	0	0	0	0	0	0	contains	BPOM RI & Kemenkes RI
Minyak Kita	0	0	0	0	0	0	0	0	contains	BPOM RI & Kemenkes RI
Minyak Kelapa Tradisional	0	0	0	0	0	0	0	0	contains	BPOM RI & Kemenkes RI
Minyak Zaitun (extra virgin)	0	0	0	0	0	0	0	0	contains	BPOM RI & Kemenkes RI
Tepung Terigu Curah	1	0	0	0	0	0	0	0	contains	BPOM RI & Kemenkes RI
Tepung Terigu Kemasan	1	0	0	0	0	0	0	0	contains	BPOM RI & Kemenkes RI
Tepung Tapioka/Kanji	0	0	0	0	0	0	0	0	contains	BPOM RI & Kemenkes RI
Tepung Beras	0	0	0	0	0	0	0	0	contains	BPOM RI & Kemenkes RI
Tepung Maizena	0	0	0	0	0	0	0	0	contains	BPOM RI & Kemenkes RI
Tepung Sorgum	0	0	0	0	0	0	0	0	contains	BPOM RI & Kemenkes RI
Kedelai Biji Kering	0	0	0	1	0	0	0	0	contains	BPOM RI & Kemenkes RI
Kedelai Impor	0	0	0	1	0	0	0	0	contains	BPOM RI & Kemenkes RI
Kedelai Lokal	0	0	0	1	0	0	0	0	contains	BPOM RI & Kemenkes RI
Garam Konsumsi	0	0	0	0	0	0	0	0	contains	BPOM RI & Kemenkes RI
Garam Dapur (bata)	0	0	0	0	0	0	0	0	contains	BPOM RI & Kemenkes RI
Jagung Tk. Peternak	0	0	0	0	0	0	0	0	contains	BPOM RI & Kemenkes RI
Jagung Manis	0	0	0	0	0	0	0	0	contains	BPOM RI & Kemenkes RI
Susu Kental Manis Kaleng	0	1	0	0	0	0	0	0	contains	BPOM RI & Kemenkes RI
