nama_bahan	gi_value	gi_kategori	kalori_per_100g	karbohidrat_per_100g	beban_glikemik	sumber
Beras putih (long grain)	56	sedang	130	28	15.7	Atkinson et al. 2008
Beras putih (medium grain)	64	sedang	130	28.2	18.0	University of Sydney GI Database
Beras putih (short grain)	72	tinggi	130	28.7	20.7	University of Sydney GI Database
Nasi putih (dimasak)	73	tinggi	130	28.2	20.6	Atkinson et al. 2008
Beras merah	50	rendah	112	22.8	11.4	University of Sydney GI Database
Nasi merah (dimasak)	55	sedang	112	22.8	12.5	Atkinson et al. 2008
Beras hitam	42	rendah	125	25.6	10.8	TKPI 2018
Beras ketan putih	86	tinggi	169	37.5	32.2	TKPI 2018
Beras ketan hitam	82	tinggi	169	37.2	30.5	TKPI 2018
Beras basmati	50	rendah	130	28	14.0	University of Sydney GI Database
Beras jasmine	89	tinggi	130	28.6	25.5	University of Sydney GI Database
Beras organik	54	rendah	115	23	12.4	TKPI 2018
Beras pandan wangi	68	sedang	130	28.5	19.4	TKPI 2018
Beras rojolele	70	tinggi	130	28	19.6	TKPI 2018
Nasi uduk	78	tinggi	175	29	22.6	Estimasi TKPI 2018
Nasi goreng	74	tinggi	228	30	22.2	Estimasi TKPI 2018
Nasi kuning	76	tinggi	190	31	23.6	Estimasi TKPI 2018
Lontong	71	tinggi	40	8.8	6.2	TKPI 2018
Ketupat	73	tinggi	45	9.5	6.9	TKPI 2018
Bihun (rice vermicelli)	61	sedang	109	25	15.2	University of Sydney GI Database
Bihun goreng	67	sedang	170	26	17.4	Estimasi TKPI 2018
Mie kuning (egg noodle)	55	sedang	138	25	13.8	University of Sydney GI Database
Mie instan (Indomie)	59	sedang	350	52	30.7	Estimasi nutrisi label
Mie goreng	62	sedang	220	30	18.6	Estimasi TKPI 2018
Mie rebus	57	sedang	68	12	6.8	Estimasi TKPI 2018
Kwetiau (flat rice noodle)	60	sedang	109	24	14.4	University of Sydney GI Database
Soun (glass noodle)	39	rendah	80	19.5	7.6	TKPI 2018
Pasta (spaghetti)	49	rendah	158	31	15.2	University of Sydney GI Database
Makaroni	47	rendah	155	30.5	14.3	University of Sydney GI Database
Sagu (tapioca starch)	86	tinggi	359	88	75.7	TKPI 2018
Tepung terigu	70	tinggi	364	76	53.2	TKPI 2018
Roti tawar putih	75	tinggi	265	49	36.8	University of Sydney GI Database
Roti tawar gandum	65	sedang	247	46	29.9	University of Sydney GI Database
Roti gandum utuh	53	rendah	247	43	22.8	University of Sydney GI Database
Roti prata	72	tinggi	310	42	30.2	University of Sydney GI Database
Roti canai	72	tinggi	308	41.5	29.9	Estimasi
Roti soba	56	sedang	230	44	24.6	University of Sydney GI Database
Oat (rolled oats)	55	sedang	389	66	36.3	University of Sydney GI Database
Oatmeal (dimasak)	55	sedang	68	12	6.6	Atkinson et al. 2008
Granola	54	rendah	471	64	34.6	University of Sydney GI Database
Sereal gandum	55	sedang	370	73	40.1	University of Sydney GI Database
Sereal jagung	81	tinggi	370	84	68.0	University of Sydney GI Database
Sereal beras	82	tinggi	380	86	70.5	University of Sydney GI Database
Ubi jalar (kuning)	63	sedang	86	20	12.6	TKPI 2018; Atkinson et al. 2008
Ubi jalar (ungu)	55	sedang	90	20.7	11.4	TKPI 2018
Ubi jalar (merah)	61	sedang	86	20.1	12.3	TKPI 2018
Ubi jalar bakar	94	tinggi	95	21	19.7	University of Sydney GI Database
Ubi jalar rebus	63	sedang	86	20	12.6	TKPI 2018
Singkong (ubi kayu)	46	rendah	160	38	17.5	TKPI 2018
Singkong rebus	55	sedang	146	35	19.2	TKPI 2018
