nama_bahan	satuan	harga_rp	harga_per_gram	sumber	tanggal_data
Beras Premium	kg	21873	21.87	econiq.id/marketplace	2026-09-22
Beras Medium	kg	16751	16.75	econiq.id/marketplace	2026-09-22
Beras SPHP	kg	12558	12.56	data.badanpangan.go.id	2025-09
Beras Kualitas Bawah I	kg	12860	12.86	bantulkab.go.id/Bantul	2025 rata-rata
Beras Kualitas Bawah II	kg	12400	12.4	bantulkab.go.id/Bantul	2025 rata-rata
Beras Bulog	kg	12472	12.47	bantulkab.go.id/Bantul	2025 rata-rata
Daging Ayam Ras	kg	50756	50.76	econiq.id/marketplace	2026-09-22
Daging Ayam Kampung	kg	44000	44.0	bantulkab.go.id/Bantul	2025 rata-rata
Daging Sapi Murni	kg	147241	147.24	econiq.id/marketplace	2026-09-22
Daging Sapi Has Dalam	kg	180000	180.0	pasar tradisional	2026-08
Daging Kerbau Segar (Lokal)	kg	144686	144.69	data.badanpangan.go.id	2025-02
Daging Kerbau Beku (Impor)	kg	106836	106.84	data.badanpangan.go.id	2025-02
Daging Kambing	kg	155000	155.0	pasar tradisional Jawa	2026-08
Daging Bebek	kg	75000	75.0	pasar tradisional Jawa	2026-08
Telur Ayam Ras	kg	29778	29.78	data.badanpangan.go.id	2025-09
Telur Ayam Kampung	kg	38000	38.0	bantulkab.go.id/Bantul	2025 rata-rata
Telur Bebek	kg	45000	45.0	pasar tradisional Jawa	2026-08
Telur Puyuh	kg	55000	55.0	pasar tradisional Jawa	2026-08
Ikan Kembung	kg	41785	41.79	data.badanpangan.go.id	2025-09
Ikan Tongkol	kg	34751	34.75	data.badanpangan.go.id	2025-09
Ikan Bandeng	kg	35107	35.11	data.badanpangan.go.id	2025-09
Ikan Teri Asin (Kering)	kg	55131	55.13	bantulkab.go.id/Bantul	2025 rata-rata
Ikan Lele	kg	28000	28.0	pasar tradisional Jawa	2026-08
Ikan Nila	kg	30000	30.0	pasar tradisional Jawa	2026-08
Ikan Patin	kg	32000	32.0	pasar tradisional Jawa	2026-08
Ikan Mas	kg	35000	35.0	pasar tradisional Jawa	2026-08
Udang Vaname Segar	kg	120000	120.0	biggo.id/hargabulanini.com	2026-08
Udang Windu	kg	150000	150.0	pasar tradisional	2026-08
Cumi-cumi	kg	95000	95.0	pasar ikan Jakarta	2026-08
Kepiting	kg	180000	180.00	pasar ikan Jakarta	2026-08
Kerang Darah	kg	45000	45.00	pasar ikan Jakarta	2026-08
Gula Pasir	kg	23605	23.61	econiq.id/marketplace	2026-09-22
Gula Pasir Lokal/Curah	kg	18151	18.15	data.badanpangan.go.id	2025-09
Gula Kelapa	kg	21500	21.50	rri.co.id (Blitar pasar)	2026-02
Gula Aren	kg	28000	28.00	pasar tradisional Jawa	2026-08
Minyak Goreng Kemasan	liter	23028	23.03	econiq.id/marketplace	2026-09-22
Minyak Goreng Curah	kg	17542	17.54	data.badanpangan.go.id	2025-09
Minyak Kita	kg	17644	17.64	data.badanpangan.go.id	2025-02
Minyak Kelapa Tradisional	liter	25000	25.00	harga.web.id	2026-07
Minyak Zaitun (extra virgin)	liter	180000	180.00	tokopedia.com	2026-08
Tepung Terigu Curah	kg	9793	9.79	data.badanpangan.go.id	2025-09
Tepung Terigu Kemasan	kg	13023	13.02	data.badanpangan.go.id	2025-09
Tepung Tapioka/Kanji	kg	12000	12.00	pasar tradisional Jawa	2026-08
Tepung Beras	kg	14000	14.00	pasar tradisional Jawa	2026-08
Tepung Maizena	kg	18000	18.00	pasar tradisional Jawa	2026-08
Tepung Sorgum	kg	60000	60.00	biggo.id/CV Timurasa Indonesia	2026-09
Kedelai Biji Kering	kg	10730	10.73	data.badanpangan.go.id	2025-09
Kedelai Impor	kg	11100	11.10	bantulkab.go.id/Bantul	2025 rata-rata
Kedelai Lokal	kg	13561	13.56	bantulkab.go.id/Bantul	2025 rata-rata
Garam Konsumsi	kg	11640	11.64	data.badanpangan.go.id	2025-09
Garam Dapur (bata)	kg	8000	8.00	pasar tradisional Jawa	2026-08
Jagung Tk. Peternak	kg	6656	6.66	data.badanpangan.go.id	2025-09
Jagung Manis	kg	12000	12.00	pasar tradisional Jawa	2026-08
