nama_bahan	satuan	kalori_kkal	protein_g	lemak_g	karbohidrat_g	serat_g	natrium_mg	kalsium_mg	besi_mg	vitamin_c_mg	sumber
Beras putih (matang)	100g	130	2.7	0.3	28.2	0.4	1	10	0.2	0	USDA 11486
Beras merah (matang)	100g	112	2.3	0.8	23.5	1.8	4	10	0.4	0	USDA 11487
Beras sorgum (matang)	100g	120	3.5	1.1	25.0	2.0	3	5	1.5	0	USDA/TKPI
Tepung terigu	100g	364	10.3	1.0	76.3	2.7	2	15	1.2	0	USDA 20481
Tepung beras	100g	366	5.6	0.6	80.1	0.4	0	6	0.4	0	USDA 20132
Tepung sorgum	100g	339	10.4	3.5	72.0	3.9	3	12	3.4	0	USDA/TKPI
Tepung tapioka	100g	358	0.2	0.0	88.7	0.9	1	20	0.6	0	USDA 20054
Tepung maizena	100g	381	0.3	0.1	91.3	0.7	9	2	0.5	0	USDA 20068
Oat (rolled)	100g	389	16.9	6.9	66.3	10.6	2	54	4.7	0	USDA 08120
Quinoa (matang)	100g	120	4.4	1.9	21.3	2.8	7	17	1.5	0	USDA 16887
Jagung manis	100g	86	3.3	1.4	19.0	2.7	15	2	0.5	7	USDA 11168
Mie instan (matang)	100g	455	9.9	17.8	61.6	2.0	1230	22	3.6	0	USDA/TKPI
Daging sapi (tanpa lemak)	100g	250	26.0	15.0	0	0	72	12	2.6	0	USDA 13987
Daging ayam (dada)	100g	165	31.0	3.6	0	0	74	15	1.0	0	USDA 05062
Daging kambing	100g	143	27.1	3.0	0	0	82	17	2.8	0	USDA 17026
Telur ayam (1 butir 50g)	100g	155	13.0	11.0	1.1	0	124	56	1.8	0	USDA 01129
Ikan salmon	100g	208	20.4	13.4	0	0	59	12	0.8	0	USDA 15076
Ikan tuna	100g	144	23.3	4.9	0	0	39	18	1.3	0	USDA 15073
Ikan kembung	100g	205	18.6	13.9	0	0	83	22	1.5	0	USDA 15046
Ikan lele	100g	95	16.4	2.8	0	0	48	42	0.8	0	USDA 15009
Udang	100g	99	24.0	0.3	0.2	0	111	70	0.5	0	USDA 15149
Cumi-cumi	100g	92	15.6	1.4	3.1	0	44	32	0.7	0	USDA 15169
Daging sapi slice	100g	250	26.0	15.0	0	0	72	12	2.6	0	USDA 13987
Ayam fillet dada	100g	165	31.0	3.6	0	0	74	15	1.0	0	USDA 05062
Ikan bandeng	100g	147	20.0	7.0	0	0	65	20	1.2	0	TKPI
Ikan tongkol	100g	144	23.3	4.9	0	0	39	18	1.3	0	USDA 15073
Ikan tenggiri	100g	158	19.0	8.5	0	0	55	15	1.0	0	TKPI
Ikan lele	100g	95	16.4	2.8	0	0	48	42	0.8	0	USDA 15009
Telur bebek	100g	185	13.0	14.0	1.5	0	146	64	3.9	0	USDA 01130
Telur puyuh	100g	158	13.1	11.1	0.6	0	141	64	3.7	0	USDA 01140
Tahu putih	100g	76	8.1	4.8	1.9	0.3	7	350	5.4	0	USDA 16158
