nama_bahan	Jan	Feb	Mar	Apr	Mei	Jun	Jul	Ags	Sep	Okt	Nov	Des	bulan_murah	sumber
Beras Premium	langka	langka	tersedia	musim	musim	musim	tersedia	langka	langka	langka	langka	langka	Apr-Jun	BPS/Badan Pangan
Beras Medium	langka	langka	tersedia	musim	musim	musim	tersedia	langka	langka	langka	langka	langka	Apr-Jun	BPS/Badan Pangan
Beras SPHP	langka	langka	tersedia	musim	musim	musim	tersedia	langka	langka	langka	langka	langka	Apr-Jun	BPS/Badan Pangan
Beras merah	langka	langka	tersedia	musim	musim	musim	tersedia	langka	langka	langka	langka	langka	Apr-Jun	BPS
Tepung terigu	tersedia	tersedia	tersedia	tersedia	tersedia	tersedia	tersedia	tersedia	tersedia	tersedia	tersedia	tersedia	sepanjang tahun	Impor/stabil
Tepung sorgum	langka	langka	tersedia	musim	musim	musim	tersedia	langka	langka	langka	langka	langka	Apr-Jun	BPS
Jagung	langka	langka	tersedia	musim	musim	musim	musim	musim	tersedia	langka	langka	langka	Apr-Ags	BPS/Badan Pangan
Oat	tersedia	tersedia	tersedia	tersedia	tersedia	tersedia	tersedia	tersedia	tersedia	tersedia	tersedia	tersedia	sepanjang tahun	Impor
Quinoa	tersedia	tersedia	tersedia	tersedia	tersedia	tersedia	tersedia	tersedia	tersedia	tersedia	tersedia	tersedia	sepanjang tahun	Impor
Daging sapi	tersedia	tersedia	tersedia	tersedia	tersedia	tersedia	tersedia	tersedia	tersedia	tersedia	tersedia	tersedia	sepanjang tahun	Impor/lokal
Daging ayam	tersedia	tersedia	tersedia	tersedia	tersedia	tersedia	tersedia	tersedia	tersedia	tersedia	tersedia	tersedia	sepanjang tahun	Lokal
Daging kambing	tersedia	tersedia	tersedia	tersedia	tersedia	tersedia	tersedia	tersedia	tersedia	tersedia	tersedia	tersedia	sepanjang tahun	Lokal
Ayam kampung	tersedia	tersedia	tersedia	tersedia	tersedia	tersedia	tersedia	tersedia	tersedia	tersedia	tersedia	tersedia	sepanjang tahun	Lokal
Daging bebek	tersedia	tersedia	tersedia	tersedia	tersedia	tersedia	tersedia	tersedia	tersedia	tersedia	tersedia	tersedia	sepanjang tahun	Lokal
